Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,additional_information (product.metafields.custom.additional_information),Benefits Text (product.metafields.custom.benefits_text),Bestselling Gift Badge (product.metafields.custom.bestselling_gift_badge),Collection Name (product.metafields.custom.collection_name),Discount Badge Show/Hide (product.metafields.custom.discount_badge_show_hide),Discount Money Show (product.metafields.custom.discount_money_show),Don't lie Number (product.metafields.custom.don_t_lie_number),Don't lie Number Text (product.metafields.custom.don_t_lie_number_text),enable_seo_schema (product.metafields.custom.enable_seo_schema),Extra Filter (product.metafields.custom.extra_filter),FAQs Answer (product.metafields.custom.faqs_answer),FAQs Question (product.metafields.custom.faqs_question),Free Gift Custom Text Card Product  (product.metafields.custom.free_gift_custom_text_card_product_),Hair  Type (product.metafields.custom.hair_type),How to use (product.metafields.custom.how_to_use),Ingredients Heading (product.metafields.custom.ingredients_heading),Ingredients Sub-text (product.metafields.custom.ingredients_sub_text),Offer Box Bottom Text Line  (product.metafields.custom.offer_box_bottom_text_line_),Product Image Badge (product.metafields.custom.product_image_badge),Product Tag Badge (product.metafields.custom.product_tag_badge),Review Video Link (product.metafields.custom.review_video_link),Review Video Sub-text (product.metafields.custom.review_video_sub_text),Review Video Title (product.metafields.custom.review_video_title),Routine (product.metafields.custom.routine_new),Size-New (product.metafields.custom.size_new),Varient Product Link (product.metafields.custom.varient_product_link),Varient Title (product.metafields.custom.varient_title),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Application type (product.metafields.shopify.application-type),Color (product.metafields.shopify.color-pattern),Conditioner effect (product.metafields.shopify.conditioner-effect),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair care finish (product.metafields.shopify.hair-care-finish),Hair care items included (product.metafields.shopify.hair-care-items-included),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Shampoo type (product.metafields.shopify.shampoo-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Target gender (product.metafields.shopify.target-gender),Treatment type (product.metafields.shopify.treatment-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
hydrorepair-hair-mask,HydroRepair Hair Mask 200ml,"<p><strong>A repair mask that gives you your hair back</strong></p>
<p>A weekly repair mask that restores your hair's ability to hold onto moisture, so it stays soft, strong, and manageable. Not just on wash day, but consistently.</p>
<p>Powered by <em>polyglutamic acid</em>, a <em>humectant 5x</em> more hydrating than hyaluronic acid, <strong>that floods the hair shaft with deep moisture</strong>. <em>Ceramides </em><strong>seal the cuticle gaps where that moisture escapes</strong>, so more goes in and less comes out. <strong>The result is hair that's softer, stronger, and back to its best</strong>.</p>","Moxie Beauty - Clean, high performing products for Indian hair types",Health & Beauty > Personal Care > Hair Care > Hair Treatments > Hair Masks,HAIR MASK,"Damage Repairing, Hair Mask",true,Title,Default Title,,,,,,,,HRHM200,0.0,shopify,-213,continue,manual,749.00,825.00,true,true,,,,,'8906170031290,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/Website_HRHM_PDP-01.jpg?v=1778223604,1,"",false,HydroRepair Hair Mask - Strengthening and Repairing Hair Mask | Moxie Beauty,"A repair mask that restores hair's ability to hold onto moisture, so it stays soft, strong, and manageable. Powered by polyglutamic acid, a humectant 5x more hydrating than hyaluronic acid, and ceramides that seal the cuticle so moisture stays locked in. Sulphate-free, silicone-free, and made for all hair types.",543616,,adult,,,,,,,,,"Best before: 36 months from date of manufacturing  
 Manufactured by: HBMK Global Private Limited Plot No. 4, Sec-6A, IIE SIDCUL, Haridwar, Uttarakhand, 249403, India
Marketed by: Beyoutiful Consumer Ventures Pvt Ltd. A-2, 1st Floor (L), Shopping Centre, Naraina Industrial Area Phase 2, New Delhi 110028  
 Country of Origin: India  
Customer Care Support: Call +91 99711 93530 or write to us at support@moxiebeauty.in","Restores hair's ability to hold onto moisture
Brings back softer, stronger, healthier hair
Reduces frizz and breakage, consistently
Deep conditioning without weighing strands down",TRUE,"Revival, repair and nourishment",,TRUE,,,,Singles,"No, the HydroRepair hair mask is for anyone whose hair feels drier, rougher, or harder to manage than it used to, regardless of whether it's been coloured or chemically treated. If hair has lost its ability to hold onto moisture, this works.
Yes. Oiling and the HydroRepair hair mask do different jobs. Oiling works on the surface and scalp; the HydroRepair hair mask works inside the hair shaft to restore moisture retention. Use oil as a pre-wash treatment and the HydroRepair hair mask as your post-shampoo mask.
Yes. The formula is designed to deeply condition without weighing strands down, so it works for fine hair too. If your hair is very fine, focus on the mid-lengths and ends and rinse thoroughly.
Yes, the HydroRepair hair mask is for all hair types and works equally well for men.
You'll notice softer, smoother hair from the first use but the HydroRepair hair mask is designed to get better with every wash. As ceramides repair your hair's structure over time, your hair's ability to retain moisture improves, meaning results become more consistent and longer lasting the more you use it.
Yes, the HydroRepair hair mask works for all hair types, particularly if your hair feels dry, rough, or harder to manage than it used to. Whether your hair has been affected by heat, colour, hard water, or daily wear and tear, it's designed to restore your hair to its best without silicones or heavy coating that weigh strands down.","Is the HydroRepair hair mask only for damaged or coloured hair?
Can I use the HydroRepair hair mask if I oil my hair regularly?
Is the HydroRepair hair mask suitable for thin or fine hair?
Can men use the HydroRepair hair mask?
How long does it take to see results?
Is the HydroRepair hair mask suitable for all hair types?",2 MINIS + FREE SHIPPING,"Dry
Damaged
Straight
Frizzy
Wavy
Curly","1. After shampooing, apply generously to freshly washed hair, focusing on the lengths
2. Distribute evenly with fingers or a wide-tooth comb
3. Leave on for 5-10 minutes to allow deep conditioning
4. Rinse thoroughly for smooth, soft, and shiny results","Polyglutamic Acid
Ceramides
Cocoa Butter
Purified Water, Theobroma Cacao (Cocoa) Butter, Octanoic/Decanoic Acid Triglyceride (and) Coco-Caprylate/Caprate (and) Tocopheryl Acetate, Behentrimonium Chloride, Cetearyl Alcohol, Glycerin, Cera Microcristallina, Phenoxyethanol (and) Ethylhexylglycerin, Polyglutamic Acid, Pentylene Glycol (and) Phospholipids (and) Sphingolipids, Fragrance, Sodium Gluconate","Deep hydration boost
Strengthens & seals moisture
Deeply nourishes, softens hair","NO NASTIES
VEGAN
CRUELTY FREE",NEW LAUNCH,HOT DROP,,,,Damage Repairing,Full Size,,,,,all-ages,rinse-out,,smoothing; strengthening; revitalizing; anti-frizz; repair; moisturizing; shine,cocoa-butter,,,,,,cream,,all-hair-types; dry; frizzy; lifeless; weakened; frizzy-1; damaged-1,unisex,,hyaluronic-acid-repairing-shampoo; dandruff-detox-pre-wash-treatment; on-the-fly-hair-finishing-stick-pack-of-2; hyaluronic-acid-hair-serum,wavy-vibe-setter-duo; cocoa-hemp-almond-hair-oil; dry-shampoo-and-brush-combo; scalp-treatment-serum-duo; hair-scalp-massager; firefighter-heat-protection-spray,,,,kg,,,true,,,active
hydrorepair-hair-mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/Website_HRHM_PDP-04.jpg?v=1778224213,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrorepair-hair-mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/Website_HRHM_PDP-03.jpg?v=1778224163,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrorepair-hair-mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/Website-HRHM-PDP-02.jpg?v=1778224316,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrorepair-hair-mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/Website_HRHM_PDP-05.jpg?v=1778224315,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrorepair-hair-mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/HRHM_Monocarton_bop.jpg?v=1778241348,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyaluronic-acid-repairing-conditioner-500ml,Hyaluronic Acid Repairing Conditioner 500ml,"<p data-end=""57"" data-start=""0""><strong data-end=""55"" data-start=""0"">Strengthen, smooth, and hydrate - without the weight!</strong></p>
<p data-end=""404"" data-start=""59"">The Hyaluronic Acid Repairing Conditioner is a high-performance, protein-enriched formula that restores moisture balance, strengthens weakened strands, and smooths the cuticle. Infused with biomimetic peptides, omega-rich botanical oils, and hyaluronic acid, it penetrates deep into the hair shaft to repair structural gaps and lock in hydration.</p>
<p data-is-only-node="""" data-is-last-node="""" data-end=""583"" data-start=""406"">Unlike silicone-heavy conditioners that just coat the surface, this lightweight formula nourishes from within—delivering long-lasting smoothness, frizz control, and real repair.</p>","Moxie Beauty - Clean, high performing products for Indian hair types",Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner > Conditioners,CONDITIONER,"Conditioner, Damage Repairing",true,Title,Default Title,,,,,,,,HARC500,0.0,shopify,-73,continue,manual,1425.00,1785.00,true,true,,,,,'8906170030965,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/6_c8e316d3-94fc-4484-a3a1-c9570a759707.jpg?v=1762445811,1,"",false,Hyaluronic Acid Repairing Conditioner 500ml - Hydrating Conditioner,"Deeply hydrate and repair with Hyaluronic Acid Repairing Conditioner 500ml. A hydrating conditioner with hyaluronic acid for softer, nourished hair.",543616,,adult,,,,,,,,,"Best before: 36 months from date of manufacturing  
Manufactured by: HBMK Global Private Limited Plot No. 4, Sec-6A, IIE SIDCUL, Haridwar, Uttarakhand, 249403, India  
Marketed by: Beyoutiful Consumer Ventures Pvt Ltd. A-2, 1st Floor (L), Shopping Centre, Naraina Industrial Area Phase 2, New Delhi 110028  
Country of Origin: India 
 Customer Care Support: Call +91 99711 93530 or write to us at support@moxiebeauty.in","Deeply nourishes and strengthens hair
Restores elasticity and reduces breakage
Locks in hydration for lasting moisture
Smooths and softens without buildup",TRUE,"Revival, repair and nourishment",TRUE,FALSE,,,,Singles,"Yes, it is completely free of silicones, sulfates, and parabens.
No, it is best applied to the mid-lengths and ends of your hair to prevent buildup.
No, it is lightweight yet ultra-hydrating, making it perfect even for fine hair.
Use it every time you shampoo to keep your hair hydrated and manageable.
Yes, it is designed to nourish and protect colour-treated hair.
For best results, use it after washing with the HA Shampoo to lock in moisture.
Yes, it smooths the hair cuticle and deeply hydrates, reducing frizz and flyaways.
Yes, it is 100% vegan and cruelty-free.","Is the HA Conditioner silicone-free?
Can I use the Hyaluronic Acid Repairing Conditioner on my scalp?
Will the conditioner weigh my hair down?
How often should I use the Hyaluronic Acid Repairing Conditioner?
Is the conditioner safe for colour-treated hair?
Can I use the Hyaluronic Acid Repairing Conditioner without shampooing first?
Does the Hyaluronic Acid Repairing Conditioner help with frizz?
Is the conditioner vegan and cruelty-free?",WORTH ₹500 + 2 FREE MINIS,"Dry
Damaged
Straight
Frizzy
Wavy
Curly","1. After shampooing, evenly apply conditioner, working it through the hair strands
2. Let it sit for up to two minutes before washing
3. For best results, follow up with ourHyaluronic Acid Hair Serum","Hyaluronic Acid
Cocoa Butter
Pea Peptides
Aqua, Ceto Stearyl Alcohol, Theobroma Cacao (Cocoa) Butter, Brassicamidopropyl Dimethylamine, L Aspartic Acid, Glycerine, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Xylitylglucoside, Anhydroxylitol, Maltitol, Xylitol, Pelvetia Canaliculata Extract, Propylene Glycol Dibenzoate, Phenoxyethanol, Ethylhexylglycerin, Sodium Hyaluronate, 1,2-Hexanediol, Fragrance, Pisum Sativum (Pea) Extract, Sodium Gluconate, Acetyl Hexapeptide-8, Copper Tripeptide-1, Palmitoyl Pentapeptide-4, Tripeptide-1, Hexapeptide-9, Palmitoyl Tripeptide-1, Polyglyceryl-10 Laurate, Butylene Glycol","Locks in moisture, prevents dryness
Restores dry and damaged hair
Restores protein, enhances elasticity","NO NASTIES
VEGAN
CRUELTY FREE",NEW LAUNCH,,,,,Damage Repairing,Full Size,,,,'28,adults,,,moisturizing; nourishing; repair; smoothing; strengthening; anti-frizz,hyaluronic-acid,,,,,silicone-free,,,damaged; weakened; all-hair-types; dry,unisex,,hyaluronic-acid-repairing-shampoo; hyaluronic-acid-hair-serum; on-the-fly-hair-finishing-stick-pack-of-2; the-headliner-and-finisher-duo,cocoa-hemp-almond-hair-oil; frizz-fighting-hair-serum; hair-scalp-massager; firefighter-heat-protection-spray,,,,kg,,,true,,,active
hyaluronic-acid-repairing-conditioner-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/HARC_2.webp?v=1762445811,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyaluronic-acid-repairing-conditioner-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/HARC-500ml.jpg?v=1762522435,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyaluronic-acid-repairing-conditioner-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0762/7862/8674/files/HARC_3.webp?v=1762522435,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
